symbol,open,high,low,close,volume
1332,3013,3058,2747,2758,593748
1928,1983,2156,1803,2079,1801631
2874,2980,3230,2930,2969,19030
3048,2046,2046,1811,1997,38897
3050,3814,4000,3551,3606,1364504
3097,4191,4322,4073,4162,4835011
3289,2271,2288,2238,2262,3195602
4023,2895,2907,2825,2887,1792988
4047,1629,1659,1583,1639,3483214
4188,2285,2559,2101,2319,1720737
4205,1528,1789,1442,1473,148750
4633,3627,3841,3409,3801,3108980
4634,3738,3951,3615,3743,3082104
4887,4120,4289,4115,4237,115462
5706,1315,1527,1310,1451,4384453
5711,3121,3300,2970,3275,2166457
6269,1842,1944,1628,1695,2442583
6368,2023,2174,1800,1804,1942471
6875,1365,1618,1121,1385,4317405
6952,4152,4202,3923,3993,2640040
6976,3749,3984,3469,3859,3998445
7173,4886,4993,4764,4927,3467435
7226,2950,3007,2733,2999,3465948
7242,2124,2197,1859,1951,1452493
7337,4155,4419,3943,4222,3618731
7729,1991,2125,1805,2116,884334
7994,2500,2574,2367,2464,2232739
8367,4386,4524,4285,4365,992771
8388,4089,4313,3901,4145,1058541
8511,4057,4121,3805,3836,1829694
8616,1546,1610,1397,1601,4444302
9412,3494,3556,3397,3514,4515031
9506,4192,4393,4070,4249,2019659
9511,1017,1226,877,992,1736099
