symbol,open,high,low,close,volume
1332,1195,1220,1194,1213,1612
1928,3403,3446,3403,3431,3127
2874,1662,1704,1662,1700,175
3048,1590,1609,1582,1604,672
3050,1456,1495,1455,1486,466
3097,4300,4325,4195,4250,224
3289,1333,1345,1320,1320,5409
3762,1757,1788,1756,1766,377
4023,3725,3770,3680,3740,620
4047,1802,1860,1782,1813,453
4188,928,947,913,933,10686
4205,1922,1962,1906,1943,1621
4633,2377,2380,2349,2353,248
4634,3950,4090,3890,4065,164
4887,2088,2146,2081,2135,378
5310,6550,6760,6440,6630,224
5471,1866,1917,1856,1897,987
5706,45960,48060,45500,48060,2151
5711,5320,5353,5243,5340,1200
6269,12595,12690,12090,12405,1434
6368,16335,17070,16170,16830,434
6875,10850,11040,10730,10920,263
6952,1590,1662,1579,1646,3230
6976,6370,6640,6176,6630,4999
7173,12400,12400,11950,12120,259
7226,2718,2741,2693,2695,223
7242,4575,4595,4500,4560,161
7337,1909,1928,1878,1917,1014
7729,18375,18675,18255,18305,477
7994,2505,2542,2488,2527,202
8367,1509,1521,1478,1504,702
8388,6540,6540,6370,6400,92
8511,2171,2215,2139,2185,235
8616,698,701,686,691,1282
9412,3605,3620,3470,3485,4437
9506,1061,1111,1060,1092,4570
9551,3435,3480,3400,3435,166
9682,1010,1011,963,963,1401
