symbol,open,high,low,close,volume
1332,2670,2963,2563,2912,3272401
1928,1525,1603,1383,1509,4943264
2874,4705,4899,4544,4615,4435000
3048,1935,2136,1858,1967,3999964
3050,4591,4796,4339,4665,4615491
3097,1599,1771,1415,1711,2654620
3289,4157,4229,3919,4055,2650257
4023,3636,3669,3453,3638,1437419
4047,1076,1257,921,1213,993767
4188,3887,4140,3783,3909,1031986
4205,3331,3399,3218,3341,1466123
4633,1521,1593,1504,1537,819890
4634,1864,1922,1588,1884,3901328
4887,1362,1487,1323,1484,1876262
5706,3887,3930,3636,3915,1949959
5711,2426,2667,2173,2493,3031821
6269,4370,4433,4223,4419,378305
6368,2562,2738,2407,2609,4789187
6875,4629,4824,4489,4596,2205247
6952,3271,3513,3071,3353,2407698
6976,4188,4343,4157,4322,3783716
7173,4482,4638,4205,4555,3219563
7226,4159,4182,3924,3938,1695620
7242,2427,2435,2149,2397,931657
7337,4548,4621,4367,4448,1203048
7729,2654,2886,2391,2409,695462
7994,2526,2798,2357,2796,2552511
8367,4079,4263,3785,3936,4617995
8388,1210,1346,1089,1159,1917425
8511,4769,5023,4571,5014,3624091
8616,1673,1701,1400,1527,3498405
9412,2182,2420,2088,2138,1961670
9506,1391,1612,1263,1551,3620245
9551,3787,4027,3523,3944,2231808
