symbol,open,high,low,close,volume
1332,4893,5041,4867,5011,4059781
1928,3558,3732,3477,3607,185994
2874,2403,2688,2353,2487,4254779
3048,1763,1795,1593,1668,2385980
3050,4500,4574,4320,4526,2017766
3097,1340,1451,1256,1288,182179
3289,1180,1353,1073,1093,878144
4023,4077,4233,3982,4124,4045851
4047,4360,4401,4263,4316,4229007
4188,2654,2871,2520,2578,1814350
4205,1224,1498,948,1470,3477015
4633,3406,3594,3383,3535,4789961
4634,3656,3740,3652,3735,3635098
4887,3911,3951,3755,3894,3628608
5706,3016,3295,2717,3277,1726798
5711,2555,2693,2455,2619,2419879
6269,2342,2501,2049,2201,4630530
6368,2201,2498,2032,2454,2586651
6758,2709,2951,2693,2921,1752397
6875,3404,3692,3187,3595,2043018
6952,3491,3773,3268,3490,3610009
6976,2174,2209,2071,2186,91547
7173,4133,4220,4053,4085,2105164
7203,2924,3019,2889,2908,1236320
7226,4458,4529,4457,4474,720105
7242,3674,3706,3420,3458,1004188
7337,4923,4993,4804,4846,4387594
7729,4630,4792,4350,4654,4402989
7994,1713,2011,1623,1806,149674
8367,1220,1304,1075,1154,3615742
8388,1226,1398,983,1133,74560
8511,3378,3624,3098,3570,4225043
8616,3106,3332,2812,3318,1501763
9412,3204,3472,3097,3242,494891
